lambda_NIO,lambda_ann_pct,N,T,T/N,trial,t_oracle,t_ols,t_lasso
0.003,9.524704719832528,50,500,10.0,12,-0.9538919226869902,,1.7642744487543782
0.003,9.524704719832528,50,500,10.0,13,0.26180279511540017,,0.5144867342716379
0.003,9.524704719832528,50,500,10.0,14,-0.7128314940319329,,1.9375533323427858
0.003,9.524704719832528,50,500,10.0,15,-1.5782709571901437,,1.18581829036368
0.003,9.524704719832528,50,500,10.0,16,0.801713185450147,,-0.04358897114694502
0.003,9.524704719832528,50,500,10.0,17,-0.22818868317501365,,-0.3728206434347445
0.003,9.524704719832528,50,500,10.0,18,2.140610267629639,,2.3510820234449605
0.003,9.524704719832528,50,500,10.0,19,0.46945269312852334,,1.7756454758912905
0.003,9.524704719832528,50,500,10.0,20,0.5870593016107862,,-0.52937767627046
0.003,9.524704719832528,50,500,10.0,21,0.6128221757719262,,1.119227491231444
0.003,9.524704719832528,50,500,10.0,22,2.1957481867699076,,2.9493777224835247
0.003,9.524704719832528,50,500,10.0,23,0.5132685148147244,,2.9119932526105603
0.003,9.524704719832528,50,500,10.0,24,-1.3948903771679066,,1.3989867181258364
0.003,9.524704719832528,50,500,10.0,25,-1.3196808444025452,,0.015175250388356586
0.003,9.524704719832528,50,500,10.0,26,1.9633497890587062,,-0.28308264763441726
0.003,9.524704719832528,50,500,10.0,27,0.17161380363738343,,-1.0404633432792334
0.003,9.524704719832528,50,500,10.0,28,-0.8712799513642502,,5.24507097925728
0.003,9.524704719832528,50,500,10.0,29,-0.5731554391274019,,-0.7832513748566057
0.003,9.524704719832528,50,500,10.0,30,2.577194631847532,,2.5077479678724948
0.003,9.524704719832528,50,500,10.0,31,1.5194274486109973,,1.5296890615357732
0.003,9.524704719832528,50,500,10.0,32,-0.8442410619487751,,-2.51314863252249
0.003,9.524704719832528,50,500,10.0,33,2.528727358385439,,1.6376971233678281
0.003,9.524704719832528,50,500,10.0,34,-0.9103749930875144,,0.8179525922461733
0.003,9.524704719832528,50,500,10.0,35,0.11931136413022285,,1.5387452348833108
0.003,9.524704719832528,50,500,10.0,36,1.2623128385257902,,2.441210970931908
0.003,9.524704719832528,50,500,10.0,37,-1.2758512844570271,,-2.938287711934615
0.003,9.524704719832528,50,500,10.0,38,1.881673474762508,,1.8999251571309033
0.003,9.524704719832528,50,500,10.0,39,0.6415622978490413,,-1.5867568056039743
0.003,9.524704719832528,50,500,10.0,40,0.34684526258204557,,-0.2521315442183272
0.003,9.524704719832528,50,500,10.0,41,0.37767513754447585,,-1.4242269492162813
0.003,9.524704719832528,50,500,10.0,42,0.9385582301914671,,0.6768581321348415
0.003,9.524704719832528,50,500,10.0,43,1.638219665828931,,1.2836653474321014
0.003,9.524704719832528,50,500,10.0,44,0.19117650797448454,,2.141177323952224
